12.2,0.1563,10.4476,0.1941,35.0
12.3,0.146,10.418,0.1895,35.0
12.4,0.1443,10.4122,0.1833,35.0
12.5,0.1474,10.4217,0.1762,35.0
12.6,0.1466,10.4187,0.1748,35.0
12.7,0.1406,10.4028,0.1746,35.0
12.8,0.1347,10.3848,0.1658,35.0
12.9,0.1363,10.3907,0.1692,35.0
13.0,0.1283,10.3673,0.1589,35.0
13.1,0.1269,10.3641,0.1565,35.0
13.2,0.131,10.3752,0.1548,35.0
13.3,0.1194,10.3409,0.1546,35.0
13.4,0.1184,10.3388,0.1466,35.0
13.5,0.1188,10.3399,0.1477,35.0
13.6,0.1189,10.3405,0.1386,35.0
13.7,0.1092,10.3133,0.138,35.0
13.8,0.1059,10.303,0.1319,35.0
13.9,0.1017,10.2915,0.1257,35.0
14.0,0.1045,10.2997,0.1209,35.0
14.1,0.1004,10.2886,0.1219,35.0
14.2,0.0928,10.2663,0.1186,35.0
14.3,0.0871,10.2486,0.1129,35.0
14.4,0.0898,10.2579,0.1042,35.0
14.5,0.0814,10.2341,0.1034,35.0
14.6,0.0794,10.2283,0.0996,35.0
14.7,0.0743,10.2131,0.0917,35.0
14.8,0.074,10.2117,0.0854,35.0
14.9,0.073,10.2099,0.088,35.0
15.0,0.0668,10.1908,0.0828,35.0
15.1,0.0592,10.169,0.0792,35.0
15.2,0.0584,10.1673,0.0682,35.0
15.3,0.0525,10.1507,0.0634,35.0
15.4,0.0467,10.1334,0.0593,35.0
15.5,0.0496,10.1434,0.0598,35.0
15.6,0.0411,10.1187,0.0575,35.0
15.7,0.0363,10.1052,0.0523,35.0
15.8,0.0385,10.1119,0.0408,35.0
15.9,0.0351,10.1001,0.0398,35.0
16.0,0.0293,10.084,0.0335,35.0
16.1,0.0207,10.0599,0.027,35.0
16.2,0.0193,10.0565,0.0226,35.0
16.3,0.0143,10.0425,0.0198,35.0
16.4,0.0102,10.0309,0.0188,35.0
16.5,0.0054,10.0156,0.0079,35.0
16.6,0.002,10.0058,0.0055,35.0
16.7,-0.001,9.9987,0.0017,35.0
16.8,0.0014,10.0045,-0.0033,35.0
16.9,-0.0045,9.9888,-0.0041,35.0
17.0,-0.0029,9.9919,-0.0133,35.0
17.1,-0.0096,9.9724,-0.0192,35.0
17.2,-0.013,9.9634,-0.0181,35.0
17.3,-0.0177,9.9498,-0.029,35.0
17.4,-0.0281,9.9211,-0.0347,35.0
17.5,-0.0279,9.9219,-0.0362,35.0
17.6,-0.0301,9.9138,-0.0409,35.0
17.7,-0.0392,9.8893,-0.0422,35.0
17.8,-0.0361,9.8967,-0.0495,35.0
17.9,-0.0372,9.8943,-0.0515,35.0
18.0,-0.0409,9.8851,-0.0565,35.0
18.1,-0.054,9.8472,-0.0606,35.0
18.2,-0.0497,9.8585,-0.0691,35.0
18.3,-0.051,9.8556,-0.0679,35.0
18.4,-0.0562,9.8403,-0.0788,35.0
18.5,-0.066,9.8126,-0.0826,35.0
18.6,-0.0637,9.8185,-0.0868,35.0
18.7,-0.0714,9.7973,-0.0891,35.0
18.8,-0.0789,9.7748,-0.0899,35.0
18.9,-0.0738,9.7908,-0.0961,35.0
19.0,-0.0769,9.7822,-0.1016,35.0
19.1,-0.0892,9.7468,-0.1092,35.0
19.2,-0.0853,9.7566,-0.1121,35.0
19.3,-0.0857,9.756,-0.1145,35.0
19.4,-0.0923,9.738,-0.1173,35.0
19.5,-0.0934,9.7347,-0.1253,35.0
19.6,-0.1022,9.7084,-0.1263,35.0
19.7,-0.1086,9.691,-0.1308,35.0
19.8,-0.1043,9.7029,-0.1375,35.0
19.9,-0.1092,9.6879,-0.1397,35.0
20.0,-0.1168,9.6666,-0.1462,35.0
20.1,-0.1137,9.6751,-0.1448,35.0
20.2,-0.1197,9.6587,-0.1516,35.0
20.3,-0.1204,9.6567,-0.152,35.0
20.4,-0.1268,9.6387,-0.1612,35.0
